iter	Passed	Remaining
292	1030	2487
293	1033	2482
294	1036	2477
295	1039	2473
296	1042	2467
297	1045	2463
298	1048	2458
299	1051	2454
300	1054	2449
301	1058	2445
302	1060	2440
303	1063	2435
304	1067	2431
305	1070	2427
306	1073	2422
307	1076	2417
308	1079	2414
309	1082	2409
310	1085	2404
311	1088	2400
312	1091	2396
313	1094	2391
314	1098	2388
315	1101	2383
316	1104	2380
317	1107	2375
318	1111	2371
319	1114	2368
320	1117	2363
321	1120	2359
322	1123	2355
323	1126	2351
324	1129	2346
325	1132	2342
326	1135	2337
327	1139	2333
328	1142	2329
329	1145	2325
330	1148	2321
331	1151	2316
332	1154	2312
333	1158	2309
334	1161	2305
335	1164	2302
336	1168	2298
337	1171	2294
338	1174	2289
339	1177	2285
340	1180	2281
341	1184	2278
342	1187	2274
343	1190	2270
344	1193	2266
345	1197	2262
346	1200	2258
347	1203	2254
348	1206	2250
349	1209	2246
350	1212	2242
351	1216	2239
352	1219	2234
353	1222	2230
354	1224	2225
355	1227	2221
356	1230	2217
357	1233	2212
358	1236	2208
359	1239	2203
360	1242	2199
361	1245	2195
362	1248	2190
363	1251	2186
364	1254	2182
365	1257	2178
366	1260	2173
367	1263	2169
368	1265	2164
369	1269	2161
370	1272	2156
371	1275	2152
372	1277	2148
373	1280	2143
374	1283	2139
375	1286	2135
376	1290	2131
377	1293	2127
378	1296	2124
379	1299	2119
380	1302	2115
381	1305	2111
382	1307	2107
383	1310	2102
384	1313	2098
385	1316	2093
386	1319	2089
387	1322	2085
388	1325	2081
389	1327	2076
390	1330	2072
391	1333	2068
392	1336	2064
393	1339	2059
394	1342	2055
395	1344	2051
396	1347	2047
397	1350	2043
398	1354	2039
399	1357	2035
400	1360	2031
401	1363	2027
402	1366	2023
403	1369	2020
404	1372	2016
405	1375	2013
406	1379	2009
407	1382	2005
408	1385	2001
409	1388	1998
410	1391	1994
411	1394	1990
412	1397	1986
413	1400	1982
414	1403	1978
415	1406	1974
416	1409	1971
417	1412	1966
418	1416	1963
419	1419	1959
420	1422	1956
421	1425	1952
422	1428	1948
423	1431	1944
424	1434	1940
425	1436	1936
426	1440	1932
427	1443	1929
428	1446	1925
429	1449	1921
430	1452	1917
431	1455	1914
432	1458	1910
433	1462	1906
434	1464	1902
435	1467	1898
436	1470	1894
437	1474	1891
438	1477	1887
439	1480	1884
440	1483	1880
441	1486	1876
442	1489	1873
443	1493	1870
444	1497	1867
445	1500	1863
446	1503	1859
447	1506	1855
448	1509	1852
449	1512	1848
450	1515	1844
451	1518	1840
452	1522	1838
453	1525	1834
454	1529	1831
455	1532	1828
456	1536	1825
457	1539	1821
458	1543	1818
459	1547	1816
460	1551	1813
461	1556	1812
462	1559	1809
463	1562	1805
464	1565	1801
465	1568	1797
466	1571	1793
467	1574	1790
468	1577	1786
469	1580	1782
470	1583	1778
471	1586	1775
472	1589	1771
473	1592	1767
474	1595	1763
475	1598	1759
476	1602	1757
477	1606	1754
478	1611	1752
479	1616	1750
480	1621	1749
481	1624	1746
482	1628	1743
483	1633	1741
484	1637	1738
485	1642	1736
486	1645	1733
487	1648	1729
488	1651	1725
489	1654	1722
490	1659	1720
491	1663	1717
492	1667	1714
493	1670	1710
494	1673	1706
495	1676	1703
496	1679	1699
497	1682	1695
498	1685	1692
499	1688	1688
500	1691	1685
501	1694	1681
502	1698	1678
503	1701	1674
504	1704	1670
505	1707	1667
506	1711	1663
507	1714	1660
508	1716	1656
509	1720	1652
510	1722	1648
511	1726	1645
512	1728	1641
513	1732	1637
514	1735	1634
515	1738	1630
516	1741	1626
517	1744	1622
518	1747	1619
519	1750	1615
520	1753	1611
521	1756	1608
522	1759	1604
523	1762	1600
524	1765	1596
525	1767	1593
526	1770	1589
527	1773	1585
528	1776	1581
529	1779	1578
530	1782	1574
531	1785	1570
532	1788	1567
533	1791	1563
534	1794	1559
535	1797	1556
536	1800	1552
537	1803	1548
538	1806	1545
539	1810	1541
540	1813	1538
541	1816	1535
542	1819	1531
543	1823	1528
544	1825	1524
545	1829	1521
546	1832	1517
547	1835	1514
548	1838	1510
549	1842	1507
550	1845	1503
551	1848	1500
552	1851	1496
553	1854	1493
554	1857	1489
555	1860	1485
556	1863	1481
557	1866	1478
558	1868	1474
559	1871	1470
560	1874	1467
561	1877	1463
562	1880	1459
563	1883	1455
564	1886	1452
565	1889	1448
566	1892	1445
567	1895	1441
568	1897	1437
569	1901	1434
570	1903	1430
571	1907	1427
572	1910	1423
573	1913	1420
574	1916	1416
575	1919	1413
576	1922	1409
577	1925	1405
578	1928	1402
579	1930	1398
580	1934	1394
581	1937	1391
582	1940	1388
583	1943	1384
584	1946	1380
585	1949	1377
586	1953	1374
587	1956	1370
588	1959	1367
589	1962	1363
590	1965	1360
591	1968	1356
592	1971	1353
593	1974	1349
594	1977	1345
595	1980	1342
596	1982	1338
597	1985	1334
598	1988	1331
599	1991	1327
600	1994	1323
601	1996	1320
602	2000	1316
603	2002	1313
604	2005	1309
605	2008	1305
606	2011	1302
607	2014	1298
608	2017	1295
609	2020	1292
610	2024	1288
611	2027	1285
612	2030	1281
613	2033	1278
614	2036	1274
615	2039	1271
616	2042	1267
617	2045	1264
618	2048	1261
619	2052	1257
620	2055	1254
621	2057	1250
622	2061	1247
623	2064	1244
624	2068	1240
625	2071	1237
626	2074	1234
627	2077	1230
628	2081	1227
629	2084	1224
630	2087	1220
631	2090	1217
632	2094	1214
633	2097	1210
634	2100	1207
635	2103	1203
636	2106	1200
637	2109	1196
638	2112	1193
639	2115	1190
640	2118	1186
641	2121	1183
642	2124	1179
643	2128	1176
644	2131	1173
645	2135	1169
646	2138	1166
647	2141	1163
648	2144	1159
649	2148	1156
650	2151	1153
651	2154	1150
652	2157	1146
653	2160	1143
654	2163	1139
655	2166	1136
656	2170	1132
657	2173	1129
658	2176	1125
659	2179	1122
660	2182	1119
661	2185	1115
662	2188	1112
663	2191	1108
664	2194	1105
665	2197	1102
666	2200	1098
667	2203	1095
668	2206	1091
669	2209	1088
670	2212	1085
671	2215	1081
672	2219	1078
673	2222	1074
674	2225	1071
675	2228	1067
676	2231	1064
677	2234	1061
678	2237	1057
679	2241	1054
680	2244	1051
681	2247	1047
682	2250	1044
683	2253	1040
684	2256	1037
685	2259	1034
686	2262	1030
687	2265	1027
688	2268	1023
689	2271	1020
690	2274	1017
691	2277	1013
692	2281	1010
693	2284	1007
694	2287	1003
695	2290	1000
696	2293	997
697	2296	993
698	2300	990
699	2304	987
700	2307	984
701	2311	981
702	2314	977
703	2317	974
704	2320	970
705	2323	967
706	2326	964
707	2329	960
708	2332	957
709	2335	953
710	2338	950
711	2341	947
712	2344	943
713	2348	940
714	2351	937
715	2354	933
716	2357	930
717	2361	927
718	2364	923
719	2367	920
720	2370	917
721	2373	913
722	2376	910
723	2379	906
724	2382	903
725	2385	900
726	2388	896
727	2391	893
728	2394	890
729	2397	886
730	2401	883
731	2404	880
732	2407	876
733	2410	873
734	2413	870
735	2416	866
736	2419	863
737	2422	860
738	2425	856
739	2429	853
740	2432	850
741	2435	846
742	2438	843
743	2441	840
744	2444	836
745	2447	833
746	2450	830
747	2453	826
748	2456	823
749	2459	819
750	2463	816
751	2466	813
752	2469	810
753	2472	806
754	2476	803
755	2479	800
756	2482	796
757	2485	793
758	2489	790
759	2492	787
760	2495	783
761	2498	780
762	2502	777
763	2505	773
764	2508	770
765	2511	767
766	2514	763
767	2517	760
768	2520	757
769	2524	754
770	2527	750
771	2530	747
772	2533	744
773	2537	740
774	2540	737
775	2543	734
776	2546	730
777	2549	727
778	2552	724
779	2555	720
780	2558	717
781	2561	714
782	2564	710
783	2567	707
784	2571	704
785	2574	700
786	2577	697
787	2580	694
788	2583	690
789	2586	687
790	2590	684
791	2592	680
792	2596	677
793	2599	674
794	2602	671
795	2605	667
796	2608	664
797	2612	661
798	2615	657
799	2618	654
800	2621	651
801	2624	647
802	2627	644
803	2630	641
804	2633	637
805	2636	634
806	2639	631
807	2642	627
808	2645	624
809	2648	621
810	2651	617
811	2654	614
812	2658	611
813	2661	608
814	2664	604
815	2667	601
816	2671	598
817	2675	595
818	2678	591
819	2681	588
820	2684	585
821	2687	582
822	2691	578
823	2694	575
824	2697	572
825	2700	568
826	2703	565
827	2707	562
828	2710	559
829	2713	555
830	2716	552
831	2719	549
832	2722	545
833	2725	542
834	2728	539
835	2732	535
836	2735	532
837	2738	529
838	2741	526
839	2744	522
840	2747	519
841	2750	516
842	2754	512
843	2757	509
844	2760	506
845	2763	503
846	2766	499
847	2769	496
848	2773	493
849	2776	489
850	2779	486
851	2782	483
852	2785	480
853	2788	476
854	2791	473
855	2794	470
856	2797	466
857	2800	463
858	2803	460
859	2806	456
860	2809	453
861	2812	450
862	2815	446
863	2818	443
864	2821	440
865	2823	436
866	2827	433
867	2829	430
868	2832	427
869	2836	423
870	2839	420
871	2842	417
872	2845	413
873	2848	410
874	2851	407
875	2854	404
876	2857	400
877	2860	397
878	2863	394
879	2866	390
880	2869	387
881	2873	384
882	2875	381
883	2878	377
884	2881	374
885	2884	371
886	2887	367
887	2890	364
888	2894	361
889	2896	358
890	2900	354
891	2903	351
892	2906	348
893	2908	344
894	2911	341
895	2914	338
896	2917	335
897	2920	331
898	2924	328
899	2927	325
900	2930	321
901	2933	318
902	2936	315
903	2940	312
904	2943	308
905	2946	305
906	2950	302
907	2953	299
908	2956	295
909	2959	292
910	2962	289
911	2966	286
912	2969	282
913	2973	279
914	2976	276
915	2979	273
916	2983	270
917	2986	266
918	2989	263
919	2993	260
920	2996	256
921	2999	253
922	3003	250
923	3006	247
924	3009	243
925	3012	240
926	3015	237
927	3019	234
928	3022	230
929	3025	227
930	3028	224
931	3032	221
932	3035	217
933	3038	214
934	3041	211
935	3045	208
936	3048	204
937	3051	201
938	3055	198
939	3058	195
940	3062	191
941	3065	188
942	3068	185
943	3071	182
944	3074	178
945	3078	175
946	3081	172
947	3084	169
948	3087	165
949	3091	162
950	3095	159
951	3098	156
952	3101	152
953	3104	149
954	3107	146
955	3111	143
956	3114	139
957	3117	136
958	3120	133
959	3123	130
960	3126	126
961	3130	123
962	3133	120
963	3136	117
964	3139	113
965	3142	110
966	3145	107
967	3148	104
968	3151	100
969	3155	97
970	3158	94
971	3161	91
972	3165	87
973	3168	84
974	3171	81
975	3175	78
976	3178	74
977	3181	71
978	3184	68
979	3187	65
980	3191	61
981	3194	58
982	3197	55
983	3200	52
984	3203	48
985	3206	45
986	3210	42
987	3213	39
988	3217	35
989	3220	32
990	3223	29
991	3227	26
992	3230	22
993	3233	19
994	3237	16
995	3240	13
996	3243	9
997	3246	6
998	3249	3
999	3252	0
